additional_underlyings,cfi,contract_type,correction,exercise_style,expiration_date,primary_exchange,shares_per_contract,strike_price,ticker,underlying_ticker
,OCASPS,call,,american,2023-05-16,BATO,100,411,O:SPY230516C00411000,SPY
,OCASPS,call,,american,2023-05-17,BATO,100,411,O:SPY230517C00411000,SPY
,OCASPS,call,,american,2023-05-18,BATO,100,411,O:SPY230518C00411000,SPY
,OCASPS,call,,american,2023-05-19,BATO,100,411,O:SPY230519C00411000,SPY
,OCASPS,call,,american,2023-05-22,BATO,100,411,O:SPY230522C00411000,SPY
,OCASPS,call,,american,2023-05-23,BATO,100,411,O:SPY230523C00411000,SPY
